target,config_key,model,param_profile,weight_profile,resolved_weight_profile,top_k,fold,seed_count,features,cat_features,te_source_count,te_generated_features,valid_logloss,best_iteration_mean,best_valid_logloss_mean,best_train_logloss_mean,stop_policy,fallback_logic,weight_min,weight_max,weight_std
Q1,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",60,0,3,193,21,10,40,0.650164234460552,63.333333333333336,0.6506510650861822,0.4615046082630902,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",60,1,3,193,21,10,40,0.6926797154209611,3.6666666666666665,0.692924085457492,0.6584261875934746,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",60,2,3,193,21,10,40,0.671304434522957,26.666666666666668,0.6715261687945938,0.5894539945319095,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",60,3,3,193,21,10,40,0.6953560374480147,1.0,0.6953578369645355,0.6829687343005769,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top60|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",60,4,3,193,21,10,40,0.6693851957573987,34.666666666666664,0.6697197372494424,0.5361553915086276,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top100|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",100,0,3,193,21,10,40,0.6509053591899321,62.333333333333336,0.6515032620409541,0.4633118278079367,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top100|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",100,1,3,193,21,10,40,0.6928261930308017,2.6666666666666665,0.6928984911996424,0.6671296393431758,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top100|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",100,2,3,193,21,10,40,0.6702305381036973,29.333333333333332,0.6704580561944157,0.5795100222195075,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top100|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",100,3,3,193,21,10,40,0.6953560374480147,1.0,0.6953578369645355,0.6829687343005769,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top100|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",100,4,3,193,21,10,40,0.6696118354575155,37.666666666666664,0.6701476186891754,0.5259863478177635,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top160|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",160,0,3,193,21,10,40,0.651108425263849,63.333333333333336,0.6515783565940804,0.46096607026082853,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top160|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",160,1,3,193,21,10,40,0.692579787957101,3.6666666666666665,0.6928093387301443,0.6589575706329646,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top160|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",160,2,3,193,21,10,40,0.6712203460780691,26.333333333333332,0.6714864839564917,0.5896185101494423,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top160|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",160,3,3,193,21,10,40,0.6953560374480147,1.0,0.6953578369645355,0.6829687343005769,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
Q1,lgbm|smooth|uniform|top160|hist1|bankbins_te,lgbm,smooth,uniform,"{""name"": ""uniform"", ""subject_power"": 0.0, ""class_power"": 0.0, ""recency_strength"": 0.0, ""anchor_error_power"": 0.0, ""fold_strength"": 0.0}",160,4,3,193,21,10,40,0.6685789016227649,39.0,0.6691071991970791,0.5201982385368752,validation_logloss_early_stopping,best_iteration or current_iteration,1.0,1.0,0.0
